REF_DATE,WIND,BIOMASS
1976,0,0.7
1977,0,1.1
1978,0,1.1
1979,0,1.3
1980,0,1.3
1981,0,1.9
1982,0,2.1
1983,0,2.1
1984,0,2.3
1985,0,1.7
1986,0,1.9
1987,0,2.3
1988,0,2.5
1989,0,3.5
1990,0,4
1991,0,4
1992,0.1,4.5
1993,0.1,4.8
1994,0.1,5.7
1995,0.1,7.1
1996,0.1,7.5
1997,0.1,8.2
1998,0.1,9
1999,0.2,8.9
2000,0.3,8.9
2001,0.3,9.7
2002,0.4,10
2003,0.7,9.4
2004,0.9,9.8
2005,1.6,9.2
2006,2.4,8.9
2007,3,9
2008,3.8,8
2009,6.6,8.9
2010,8.7,10.3
2011,10.2,10.2
2012,11.3,10.9
2013,11.1,11
2014,12.8,9.8
2015,27,10
2016,30.9,11.4
2017,31.5,10.9
2018,33.2,10
2019,34.2,10.8
